id,code,category_id,name,created_at,updated_at,deleted_at
1,1,1,お茶,,,
2,1,2,お茶,,,
3,1,3,陶器,,,
4,2,3,検査用,,,
5,3,3,加工賃,,,
6,4,3,その他,,,
7,5,3,ドライアイス,,,
8,6,3,ラッピング代,,,
9,7,3,パレット代,,,
10,8,3,作成費用,,,
11,1,4,陶器,,,
12,2,4,資材,,,
13,1,5,資材,,,
14,1,6,お茶,,,
15,2,6,その他,,,
16,1,7,お茶,,,
17,2,7,その他,,,
18,3,7,送料,,,
19,1,8,資材,,,
20,1,9,資材,,,
21,2,9,外注加工,,,
22,1,10,資材,,,
23,1,11,茶,,,
24,1,12,資材,,,
25,2,12,外注加工,,,
26,3,12,仕上加工費,,,
27,4,12,保管料,,,
28,1,13,燃料,,,
29,1,14,広告,,,
30,1,15,車両,,,
31,1,16,事務用品,,,
32,1,17,送料,,,
33,1,19,修理,,,
34,1,20,仕入れ,,,
35,2,20,改善支援料,,,
36,3,20,加工費,,,
37,1,21,切手・印紙,,,
38,1,22,飲食代,,,
39,1,23,容器包装費,,,
